fund_company,establish_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,award_count
先锋基金管理有限公司,2016/5/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汇泉基金管理有限公司,2020/6/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金信基金管理有限公司,2015/7/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
恒生前海基金管理有限公司,2016/7/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
同泰基金管理有限公司,2018/10/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中科沃土基金管理有限公司,2015/9/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湘财基金管理有限公司,2018/7/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
百嘉基金管理有限公司,2020/9/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中信建投证券股份有限公司,2005/11/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
兴华基金管理有限公司,2020/4/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
博远基金管理有限公司,2018/12/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
江信基金管理有限公司,2013/1/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上海海通证券资产管理有限公司,2012/6/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华安证券股份有限公司,2001/1/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华融证券股份有限公司,2007/9/7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
招商证券资产管理有限公司,2015/4/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
弘毅远方基金管理有限公司,2018/1/31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
益民基金管理有限公司,2005/12/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
兴证证券资产管理有限公司,2014/6/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
安信证券资产管理有限公司,2020/1/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
凯石基金管理有限公司,2017/5/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长城证券股份有限公司,1996/5/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
太平洋证券股份有限公司,2004/1/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天风(上海)证券资产管理有限公司,2020/8/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
达诚基金管理有限公司,2019/8/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
安信证券股份有限公司,2006/8/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国联证券股份有限公司,1999/1/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国海证券股份有限公司,1993/6/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东兴证券股份有限公司,2008/5/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
平安证券股份有限公司,1996/7/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
